arxiv_id,status,publication_date,publication_year,publication_venue,publisher,doi,published_url,record_url,metadata_source
2407.16741,published,2025,2025,International Conference on Learning Representations (ICLR),International Conference on Learning Representations,,https://proceedings.iclr.cc/paper_files/paper/2025/hash/a4b6ad6b48850c0c331d1259fc66a69c-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/hash/a4b6ad6b48850c0c331d1259fc66a69c-Abstract-Conference.html,ICLR proceedings record
2404.05427,published,2024-09-11,2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA),Association for Computing Machinery,10.1145/3650212.3680384,https://doi.org/10.1145/3650212.3680384,https://doi.org/10.1145/3650212.3680384,ACM DOI record
2511.17330,published,2026-06-30,2026,Proceedings of the ACM on Software Engineering 3 (FSE),Association for Computing Machinery,10.1145/3808164,https://doi.org/10.1145/3808164,https://doi.org/10.1145/3808164,ACM DOI record
2603.18096,published,2026,2026,Proceedings of the 21st International Conference on Evaluation of Novel Approaches to Software Engineering (ENASE),SCITEPRESS,10.5220/0014840300004015,https://doi.org/10.5220/0014840300004015,https://doi.org/10.5220/0014840300004015,SCITEPRESS DOI record
2605.22608,published,2026,2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics: System Demonstrations (ACL),Association for Computational Linguistics,10.18653/v1/2026.acl-demo.74,https://aclanthology.org/2026.acl-demo.74/,https://doi.org/10.18653/v1/2026.acl-demo.74,ACL Anthology and DOI records
2601.12030,published,2026,2026,Findings of the Association for Computational Linguistics: ACL,Association for Computational Linguistics,10.18653/v1/2026.findings-acl.930,https://aclanthology.org/2026.findings-acl.930/,https://doi.org/10.18653/v1/2026.findings-acl.930,ACL Anthology and DOI records
2310.06770,published,2024,2024,International Conference on Learning Representations (ICLR),International Conference on Learning Representations,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/edac78c3e300629acfe6cbe9ca88fb84-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/hash/edac78c3e300629acfe6cbe9ca88fb84-Abstract-Conference.html,ICLR proceedings record
2505.23419,published,2025,2025,Advances in Neural Information Processing Systems 38: Datasets and Benchmarks Track (NeurIPS),Neural Information Processing Systems Foundation,,https://proceedings.neurips.cc/paper_files/paper/2025/hash/d83c4a745789690f82e86d0ef752ae7c-Abstract-Datasets_and_Benchmarks_Track.html,https://proceedings.neurips.cc/paper_files/paper/2025/hash/d83c4a745789690f82e86d0ef752ae7c-Abstract-Datasets_and_Benchmarks_Track.html,NeurIPS proceedings record
2308.03688,published,2024,2024,International Conference on Learning Representations (ICLR),International Conference on Learning Representations,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/e9df36b21ff4ee211a8b71ee8b7e9f57-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/hash/e9df36b21ff4ee211a8b71ee8b7e9f57-Abstract-Conference.html,ICLR proceedings record
2307.13854,published,2024,2024,International Conference on Learning Representations (ICLR),International Conference on Learning Representations,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/4410c0711e9154a7a2d26f9b3816d1ef-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/hash/4410c0711e9154a7a2d26f9b3816d1ef-Abstract-Conference.html,ICLR proceedings record
2404.07972,published,2024,2024,Advances in Neural Information Processing Systems 37: Datasets and Benchmarks Track (NeurIPS),Neural Information Processing Systems Foundation,10.52202/079017-1650,https://proceedings.neurips.cc/paper_files/paper/2024/hash/5d413e48f84dc61244b6be550f1cd8f5-Abstract-Datasets_and_Benchmarks_Track.html,https://doi.org/10.52202/079017-1650,NeurIPS proceedings and DOI records
2307.16789,published,2024,2024,International Conference on Learning Representations (ICLR),International Conference on Learning Representations,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/28e50ee5b72e90b50e7196fde8ea260e-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/hash/28e50ee5b72e90b50e7196fde8ea260e-Abstract-Conference.html,ICLR proceedings record
2407.18901,published,2024,2024,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (ACL),Association for Computational Linguistics,10.18653/v1/2024.acl-long.850,https://aclanthology.org/2024.acl-long.850/,https://doi.org/10.18653/v1/2024.acl-long.850,ACL Anthology and DOI records
2503.07832,published,2025,2025,International Conference on Learning Representations (ICLR),International Conference on Learning Representations,,https://proceedings.iclr.cc/paper_files/paper/2025/hash/6b44ee74539ea77d6a0d50d468724371-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/hash/6b44ee74539ea77d6a0d50d468724371-Abstract-Conference.html,ICLR proceedings record
2602.14337,published,2026,2026,Findings of the Association for Computational Linguistics: ACL,Association for Computational Linguistics,10.18653/v1/2026.findings-acl.1497,https://aclanthology.org/2026.findings-acl.1497/,https://doi.org/10.18653/v1/2026.findings-acl.1497,ACL Anthology and DOI records
2602.06875,published,2026-04-12,2026,Proceedings of the 48th IEEE/ACM International Conference on Software Engineering (ICSE),Association for Computing Machinery,10.1145/3744916.3773187,https://conf.researchr.org/details/icse-2026/icse-2026-research-track/145/TraceCoder-A-Trace-Driven-Multi-Agent-Framework-for-Automated-Debugging-of-LLM-Gener,https://openreview.net/pdf?id=rFK25zcYP1,ICSE program and camera-ready records
2607.10113,accepted,2026,2026,Transactions on Machine Learning Research (TMLR),OpenReview,,https://openreview.net/forum?id=cjU3YbcRr8,https://openreview.net/forum?id=cjU3YbcRr8,Current arXiv acceptance note and OpenReview record
2607.10455,accepted,2026-04-30,2026,Proceedings of the 43rd International Conference on Machine Learning (ICML),PMLR,,https://openreview.net/forum?id=YqTodSrPPB,https://openreview.net/forum?id=YqTodSrPPB,ICML OpenReview record
2607.07504,accepted,2026,2026,KDD Workshop on AI Data Scientist,ACM SIGKDD,,https://arxiv.org/abs/2607.07504,https://usail-hkust.github.io/aidatasci/,Current arXiv acceptance note and official workshop page
2512.21354,published,2026,2026,AAAI Workshop on Trust and Control in Agentic AI (TrustAgent),Association for the Advancement of Artificial Intelligence (AAAI),,https://openreview.net/forum?id=vUtz66IHD1,https://openreview.net/forum?id=vUtz66IHD1,AAAI workshop OpenReview record
2607.10569,accepted,2026,2026,KDD Workshop on Agentic Software Engineering (SE 3.0),ACM SIGKDD,,https://arxiv.org/abs/2607.10569,https://agent-se.github.io/,Current arXiv acceptance note and official non-archival workshop page
2607.13091,accepted,2026-06-22,2026,32nd IEEE International Conference on Engineering Technology and Innovation (ICE/ITMC),IEEE,,https://arxiv.org/abs/2607.13091,https://ice-conference.org/,Current arXiv acceptance note and official conference page
2607.07989,accepted,2026,2026,Conference on Language Modeling (COLM),Conference on Language Modeling,,https://arxiv.org/abs/2607.07989,https://colmweb.org/AcceptedPapers.html,Official COLM accepted-papers list and current arXiv note
2607.14336,accepted,2026,2026,ICML Workshop on Agents in the Wild: Safety Security and Beyond,International Conference on Machine Learning,,https://arxiv.org/abs/2607.14336,https://agentwild-workshop.github.io/icml2026/,Current arXiv acceptance note and official workshop page
2607.08319,accepted,2026,2026,DASHSys Workshop at the International Conference on Very Large Data Bases (VLDB),VLDB Endowment,,https://arxiv.org/abs/2607.08319,https://dashsys-workshop-vldb.github.io/,Current arXiv acceptance note and official workshop page
2603.11445,published,2026,2026,ICLR Workshop on Multi-Agent Learning: Generalization and Adaptation in Intelligence (MALGAI),International Conference on Learning Representations,,https://openreview.net/forum?id=WUmz4LUbvU,https://openreview.net/forum?id=WUmz4LUbvU,ICLR workshop OpenReview record
2401.13649,published,2024,2024,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (ACL),Association for Computational Linguistics,10.18653/v1/2024.acl-long.50,https://aclanthology.org/2024.acl-long.50/,https://doi.org/10.18653/v1/2024.acl-long.50,ACL Anthology and DOI records
2601.21008,published,2026,2026,"Proceedings of the 43rd International Conference on Machine Learning (ICML), PMLR 306",PMLR,,https://openreview.net/pdf/16a0193aa4e71ffe6c921ac0081a66b525eea017.pdf,https://openreview.net/pdf/16a0193aa4e71ffe6c921ac0081a66b525eea017.pdf,PMLR camera-ready record
2603.13428,accepted,2026,2026,Proceedings of the 43rd International Conference on Machine Learning (ICML),PMLR,,https://arxiv.org/abs/2603.13428,https://swe-milestone.com/,Current arXiv acceptance note and official project record
