row_id,section,section_slug,resource_type,marker,title,url,url_kind,domain,annotation,description,key_contribution,novelty,impact,signal,signal_strength,source_readme,source_line,source_url,date_added,collection,collection_slug,user_goal,lifecycle_stages,audience,loop_layer,scope_fit,evidence_class,evidence_tier,source_status,canonical_url,source_title,source_description,authors,publication_date,publication_year,publication_venue,publisher,doi,publication_note,primary_category,metadata_source,github_repo,github_stars,github_forks,github_license,github_created_at,github_updated_at,arxiv_id,audited_at
ale-0152,Research Foundations,research-foundations,Paper,📄,AutoPersonas: A Multi-Timescale Loop Engine for Open-Ended Persona Evolution,https://arxiv.org/abs/2607.08252,external,arxiv.org,"Names self-locking as a runtime failure mode of continuing agent loops, where accumulated state and history pull generation toward stale repetition (over 95% rolling action-repetition across an eight-model 40-day stress test), and proposes a multi-timescale loop that admits divergent material only through evidence-governed absorption, cutting macro-theme repetition from 61.8% to 36.3%.","Names self-locking as a runtime failure mode of continuing agent loops, where accumulated state and history pull generation toward stale repetition (over 95% rolling action-repetition across an eight-model 40-day stress test), and proposes a multi-timescale loop that admits divergent material only through evidence-governed absorption, cutting macro-theme repetition from 61.8% to 36.3%.","Names self-locking as a runtime failure mode of continuing agent loops, where accumulated state and history pull generation toward stale repetition (over 95% rolling action-repetition across an eight-model 40-day stress test), and proposes a multi-timescale loop that admits divergent material only through evidence-governed absorption, cutting macro-theme repetition from 61.8% to 36.3%.","State persistence is explicit enough for repeated runs and handoff. Names self-locking as a runtime failure mode of continuing agent loops, where accumulated state and history pull generation toward stale repetition (over 95% rolling action-repetition across an eight-model 40-day stress test), and proposes a multi-timescale loop that admits divergent material only through evidence-governed absorption, cutting macro-theme repetition from 61.8% to 36.3%.","Use AutoPersonas: A Multi-Timescale Loop Engine for Open-Ended Persona Evolution to understand the evidence, vocabulary, and lineage behind recurring agent systems.",Research source arXiv:2607.08252; inspect its method and evaluation before treating results as production evidence.,medium,README.md,728,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L728,,Learn,learn,Understand the field and its boundaries.,verification;state,researcher;evaluator,cross-layer,enabling,research-preprint,A,ok,https://arxiv.org/abs/2607.08252,[2607.08252] AutoPersonas: A Multi-Timescale Loop Engine for Open-Ended Persona Evolution,"Long-term persona agents must remain identifiable while adapting to new events, relationships, evidence, and social conditions. We identify self-locking as a runtime failure mode in continuing persona-life loops: locally plausible events keep appearing while the generated life collapses toward familiar environments, weak relationships, suspended decisions, and stale life stages. We trace this failure to model-level convergence toward high-probability behavioral channels and system-level context gravity from State, memory, history, and environment summaries. We introduce AutoPersonas, a multi-timescale life-environment engine for bounded persona-level recursive self-evolution. It separates environment-side Occurrences, accumulated Observations, and persona State. Its OSO loop admits divergent future-facing material while requiring evidence-governed absorption before State or reachability changes. A three-year compressed simulation exposed environment watermark shells, occurrence-hardening gaps, slow-change accumulation failures, recursive indecision, and weak relationship persistence. An eight-model 40-day stress test generated 1,600 events and found mean rolling 5-day action-category repetition of 95.2%-97.6%, with all models crossing 90% by day 11. Semantic re-keeping found 79.0%-88.0% macro-theme repetition across all direct-loop runs. In a same-runtime 40-day A/B, context-slice masking plus per-sample divergence targeting reduced macro-theme repetition from 61.8% to 36.3% and roughly doubled cumulative theme count. A juvenile-goblin fictional-world run reproduced the anti-fixation regime without hard real-world intrusions. These results support a bounded claim: separating controlled divergence from evidence-governed absorption can reduce persona-environment self-locking while preserving identity continuity.",Mengchen Li,2026-07-09,2026,arXiv,arXiv,,"52 pages, 13 figures/tables, ancillary public-safe evaluation artifacts included",cs.AI,arxiv-api,,,,,,,2607.08252,2026-08-01T20:38:23+00:00
ale-0153,Research Foundations,research-foundations,Paper,📄,Agentic Data Environments,https://arxiv.org/abs/2607.07397,external,arxiv.org,"Vision paper from the IEEE Data Engineering Bulletin reframing data systems as the active execution environment agents operate in, spanning files, APIs, applications, and system state, arguing the substrate under recurring agent loops should both amplify agent capability and enforce safety guarantees that bound the cost of failure.","Vision paper from the IEEE Data Engineering Bulletin reframing data systems as the active execution environment agents operate in, spanning files, APIs, applications, and system state, arguing the substrate under recurring agent loops should both amplify agent capability and enforce safety guarantees that bound the cost of failure.","Vision paper from the IEEE Data Engineering Bulletin reframing data systems as the active execution environment agents operate in, spanning files, APIs, applications, and system state, arguing the substrate under recurring agent loops should both amplify agent capability and enforce safety guarantees that bound the cost of failure.","State persistence is explicit enough for repeated runs and handoff. Vision paper from the IEEE Data Engineering Bulletin reframing data systems as the active execution environment agents operate in, spanning files, APIs, applications, and system state, arguing the substrate under recurring agent loops should both amplify agent capability and enforce safety guarantees that bound the cost of failure.","Use Agentic Data Environments to understand the evidence, vocabulary, and lineage behind recurring agent systems.",Research source arXiv:2607.07397; inspect its method and evaluation before treating results as production evidence.,medium,README.md,729,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L729,,Learn,learn,Understand the field and its boundaries.,state;budget,researcher;evaluator,cross-layer,enabling,research-paper,A,ok,http://sites.computer.org/debull/A26mar/A26MAR-CD.pdf#page=7,[2607.07397] Agentic Data Environments,"Autonomous agents promise substantial gains in speed, scale, and labor efficiency, but their failures can impose abrupt and often irreversible costs. The central challenge for agentic automation is therefore to increase the benefits of automation while bounding the consequences of failure. While databases remain central to modern computing, agents operate over a broader data environment spanning files, APIs, applications, and system state. In this talk, I will outline early work on Agentic Data Environments -- the execution substrate in which agents operate -- that both amplify agent capabilities and enforce safety guarantees. This perspective reframes data systems from passive stores of state into active substrates for safe, reliable execution.",Elaine Ang; Chenxi Huang; Georgios Liargkovas; Jerry Liu; Jinhui Liu; Nikos Pagonas; Charlie Summers; Haonan Wang; Jiakai Xu; Tianle Zhou; Yusen Zhang; Zhou Yu; Zhuo Zhang; Tianyi Peng; Kostis Kaffes; Eugene Wu,2026-03,2026,IEEE Data Engineering Bulletin 50(1),IEEE,,Published in IEEE Data Engineering Bulletin 50(1); the linked arXiv record remains available for open access.,cs.AI,IEEE Data Engineering Bulletin record,,,,,,,2607.07397,2026-08-01T20:38:23+00:00
ale-0154,Research Foundations,research-foundations,Paper,📄,"Better Harnesses, Smaller Models: Building 90% Cheaper Agents via Automated Harness Adaptation",https://arxiv.org/abs/2607.08938,external,arxiv.org,"Meta agent maps observed failure modes to harness adaptation strategies, letting small-model agents recover ~90% of frontier-LLM performance at ~4% of the cost, the harness itself becomes the optimization target.","Meta agent maps observed failure modes to harness adaptation strategies, letting small-model agents recover ~90% of frontier-LLM performance at ~4% of the cost, the harness itself becomes the optimization target.","Meta agent maps observed failure modes to harness adaptation strategies, letting small-model agents recover ~90% of frontier-LLM performance at ~4% of the cost, the harness itself becomes the optimization target.","Connects Loop Engineering to prior agent-loop and feedback-loop research. Meta agent maps observed failure modes to harness adaptation strategies, letting small-model agents recover ~90% of frontier-LLM performance at ~4% of the cost, the harness itself becomes the optimization target.","Use Better Harnesses, Smaller Models: Building 90% Cheaper Agents via Automated Harness Adaptation to understand the evidence, vocabulary, and lineage behind recurring agent systems.",Research source arXiv:2607.08938; inspect its method and evaluation before treating results as production evidence.,medium,README.md,730,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L730,,Learn,learn,Understand the field and its boundaries.,budget,researcher;evaluator,cross-layer,enabling,research-preprint,A,ok,https://arxiv.org/abs/2607.08938,"[2607.08938] Better Harnesses, Smaller Models: Building 90% Cheaper Agents via Automated Harness Adaptation","Frontier LLM agents are automating many business tasks, but their high inference cost makes large-scale deployment unsustainable. Small language models (SLMs) offer a cheaper alternative, yet they typically fall short when swapped into a harness designed for a frontier LLM. We show that for many routine business tasks, SLM agents can match LLM performance at 90% lower cost, when paired with an adapted harness that can be automatically discovered by a meta agent. The key insight is that much of the task difficulty is shared across instances and can be lifted from the model into the harness via tailored instructions, tools, and orchestration loops. To study this systematically, we create a framework that maps agent failure modes to harness adaptation strategies, and build a harness optimizer that automatically discovers effective adaptations from failure trajectories. Across seven business-oriented agentic tasks and three SLM families, we found optimized harnesses significantly improve performance on 16 of 21 task-SLM pairs, with seven pairs closing the SLM-LLM performance gap and the best SLM agent recovering 89.7% of LLM performance at 4% of the cost. Our analysis further shows that adaptation works best for tasks with more repetitive workflows and for SLMs with sufficient base capabilities. Together, these results suggest that harness adaptation can expand the practical deployment range of SLM agents in routine business tasks.",Chenyang Yang; Xinran Zhao; Tongshuang Wu; Christian Kästner,2026-07-09,2026,arXiv,arXiv,,,cs.SE,arxiv-api,,,,,,,2607.08938,2026-08-01T20:38:23+00:00
ale-0155,Research Foundations,research-foundations,Paper,📄,Inside the Skill Market: From Software Engineering Activities to Reusable Agent Skills,https://arxiv.org/abs/2607.09065,external,arxiv.org,"First large-scale empirical study of public agent-skill repositories and marketplaces, characterizing which software-engineering activities get packaged as reusable skills, their coverage across the development lifecycle, how they evolve, and how they are evaluated - an activity-centric map of the skills layer that agent loops compose (Cao, Cheung, et al., HKUST).","First large-scale empirical study of public agent-skill repositories and marketplaces, characterizing which software-engineering activities get packaged as reusable skills, their coverage across the development lifecycle, how they evolve, and how they are evaluated - an activity-centric map of the skills layer that agent loops compose (Cao, Cheung, et al., HKUST).","First large-scale empirical study of public agent-skill repositories and marketplaces, characterizing which software-engineering activities get packaged as reusable skills, their coverage across the development lifecycle, how they evolve, and how they are evaluated - an activity-centric map of the skills layer that agent loops compose (Cao, Cheung, et al., HKUST).","Connects Loop Engineering to prior agent-loop and feedback-loop research. First large-scale empirical study of public agent-skill repositories and marketplaces, characterizing which software-engineering activities get packaged as reusable skills, their coverage across the development lifecycle, how they evolve, and how they are evaluated - an activity-centric map of the skills layer that agent loops compose (Cao, Cheung, et al., HKUST).","Use Inside the Skill Market: From Software Engineering Activities to Reusable Agent Skills to understand the evidence, vocabulary, and lineage behind recurring agent systems.",Research source arXiv:2607.09065; inspect its method and evaluation before treating results as production evidence.,medium,README.md,731,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L731,,Learn,learn,Understand the field and its boundaries.,whole-loop,researcher;evaluator,cross-layer,enabling,research-preprint,A,ok,https://arxiv.org/abs/2607.09065,[2607.09065] Inside the Skill Market: From Software Engineering Activities to Reusable Agent Skills,"Software engineering (abbrev. SE) has continuously evolved through increasingly powerful forms of reuse, from source code and libraries to components and services. Recent advances in AI agents have introduced a potentially new reusable artifact: skills. Emerging agent skill repositories and marketplaces enable developers to package, share, and reuse SE expertise as reusable skills. This trend raises a fundamental question: what SE activities are being encapsulated into reusable skills? Existing studies primarily focus on a broad range of skills acquisition, safety, or benchmarking, while lacking a systematic understanding of SE-specific skills and their coverage across the software development lifecycle. To address this gap, we conduct the first large-scale empirical study of SE skills in public repositories and marketplaces. We collect and analyze a large corpus of SE skills, examining the activities they encapsulate, lifecycle coverage, evolution characteristics, and evaluation mechanisms. Our findings reveal that SE activities are increasingly becoming reusable artifacts via skills and suggest promising research opportunities for skill recommendation and engineering-oriented structuring, as well as the need for mechanisms to encapsulate high-context SE activities into reusable skills. Overall, our study provides the first activity-centric characterization of SE skills and reveals how SE activities are increasingly being transformed into reusable skills. These findings offer new insights into skill reuse, ecosystem development, and the future of agent-centric SE.",Jialun Cao; Xinru Yan; Songqiang Chen; Yaojie Lu; Zhongxin Liu; Shing-Chi Cheung,2026-07-10,2026,arXiv,arXiv,,,cs.SE,arxiv-api,,,,,,,2607.09065,2026-08-01T20:38:23+00:00
ale-0156,Research Foundations,research-foundations,Blog,📝,Harness Engineering for Self-Improvement,https://lilianweng.github.io/posts/2026-07-04-harness/,external,lilianweng.github.io,"Lilian Weng's deep-dive arguing the harness, the system surrounding a base model that orchestrates execution, matters as much as raw intelligence for recursive self-improvement, with a taxonomy of harness components and failure modes.","Lilian Weng's deep-dive arguing the harness, the system surrounding a base model that orchestrates execution, matters as much as raw intelligence for recursive self-improvement, with a taxonomy of harness components and failure modes.","Lilian Weng's deep-dive arguing the harness, the system surrounding a base model that orchestrates execution, matters as much as raw intelligence for recursive self-improvement, with a taxonomy of harness components and failure modes.","Orchestration and control flow are made explicit and inspectable. Lilian Weng's deep-dive arguing the harness, the system surrounding a base model that orchestrates execution, matters as much as raw intelligence for recursive self-improvement, with a taxonomy of harness components and failure modes.","Use Harness Engineering for Self-Improvement to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Contextual source from lilianweng.github.io; useful for practice signals or boundary conditions, not independent validation.",contextual,README.md,732,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L732,,Learn,learn,Understand the field and its boundaries.,delegation,builder,cross-layer,enabling,practitioner-analysis,B,ok,https://lilianweng.github.io/posts/2026-07-04-harness/,Harness Engineering for Self-Improvement | Lil'Log,"The concept of recursive self-improvement (RSI) dates back to I. J. Good (1965), where he defined an “ultraintelligent machine” as a system that can surpass humans in all intellectual activities and design better machines to improve itself. Yudkowsky (2008) used the phrase “recursive self-improvement” for a specific feedback loop: an AI uses its current intelligence to improve the cognitive machinery that produces its intelligence. This feedback loop in modern AI may indicate the model rewriting its own weights directly, or more broadly the model improves the training pipeline and the deployment system, which in turn enables a better successor model with improved performance across economically valuable tasks. The speed of research development in AI has been shown to drastically accelerated in frontier labs (Anthropic; OpenAI).",Lilian Weng,2026-07-04,2026,,lilianweng.github.io,,,,html-meta,,,,,,,,2026-08-01T20:38:23+00:00
ale-0157,Research Foundations,research-foundations,Paper,📄,"Compile, Then Page: Executable SOP Programs and a Capability-Gated Runtime",https://arxiv.org/abs/2607.11346,external,arxiv.org,"Compiles safety-critical standard operating procedures into executable pseudo-code run by a program-guided stack machine that pages the active frame while the LLM does semantic execution, finding runtime guidance is capability-gated (it helps strong models and harms weak ones) across a six-model, seven-domain SOPBench study.","Compiles safety-critical standard operating procedures into executable pseudo-code run by a program-guided stack machine that pages the active frame while the LLM does semantic execution, finding runtime guidance is capability-gated (it helps strong models and harms weak ones) across a six-model, seven-domain SOPBench study.","Compiles safety-critical standard operating procedures into executable pseudo-code run by a program-guided stack machine that pages the active frame while the LLM does semantic execution, finding runtime guidance is capability-gated (it helps strong models and harms weak ones) across a six-model, seven-domain SOPBench study.","Connects Loop Engineering to prior agent-loop and feedback-loop research. Compiles safety-critical standard operating procedures into executable pseudo-code run by a program-guided stack machine that pages the active frame while the LLM does semantic execution, finding runtime guidance is capability-gated (it helps strong models and harms weak ones) across a six-model, seven-domain SOPBench study.","Use Compile, Then Page: Executable SOP Programs and a Capability-Gated Runtime to understand the evidence, vocabulary, and lineage behind recurring agent systems.",Research source arXiv:2607.11346; inspect its method and evaluation before treating results as production evidence.,medium,README.md,733,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L733,2026-07-15,Learn,learn,Understand the field and its boundaries.,whole-loop,researcher;evaluator,cross-layer,enabling,research-preprint,A,ok,https://arxiv.org/abs/2607.11346,"[2607.11346] Compile, Then Page: Executable SOP Programs and a Capability-Gated Runtime for Procedural LLM Agents","Enterprise agents must follow long-horizon, conditional, safety-critical standard operating procedures (SOPs). We compile machine-readable SOP constraints into executable pseudo-code and run them with a program-guided (PG) stack machine that pages the active frame while an LLM performs semantic execution. A three-arm SOPBench study across six models separates representation from runtime: compiled text never significantly hurts and gains up to 16.0 points where official prose underperforms. Runtime guidance is capability-gated. Two strong models independently show positive seven-domain PG contrasts (58:19 and 75:31 discordant pairs), whereas weak models are harmed. A full-program cursor ablation (active frame first, complete program retained) recovers much of the strong-model refusal gain; selective visibility adds a smaller improvement. Paired probe and audit measurements track this divide to spontaneous state discipline rather than reconstruction ability. On Bank the three primary arms rise from 70.4 to 86.4 to 92.8, with 100% refusal correctness. Practical guidance: compile first; enable active-frame paging only after a model-level discipline check.",Chenglin Yu; Li Yin; Qingxin Fan; Ying Yu; RunyangRay Zhong; Ming Li,2026-07-13,2026,arXiv,arXiv,,"9 pages, 3 figures, 5 tables",cs.AI,arxiv-api,,,,,,,2607.11346,2026-08-01T20:38:23+00:00
ale-0158,Research Foundations,research-foundations,Paper,📄,Mako: A Self-Evolving Agentic Operating System for Autonomous Web Exploitation,https://arxiv.org/abs/2607.11288,external,arxiv.org,"Industrial self-evolving agentic OS that treats exploit capability as a mutable, versioned kernel: the agent observes its own failures, synthesizes new capabilities, proves them against a live target, and hot-loads them back, a self-improvement loop with in-loop verification.","Industrial self-evolving agentic OS that treats exploit capability as a mutable, versioned kernel: the agent observes its own failures, synthesizes new capabilities, proves them against a live target, and hot-loads them back, a self-improvement loop with in-loop verification.","Industrial self-evolving agentic OS that treats exploit capability as a mutable, versioned kernel: the agent observes its own failures, synthesizes new capabilities, proves them against a live target, and hot-loads them back, a self-improvement loop with in-loop verification.","Verification is promoted from a final check to a loop-control signal. Industrial self-evolving agentic OS that treats exploit capability as a mutable, versioned kernel: the agent observes its own failures, synthesizes new capabilities, proves them against a live target, and hot-loads them back, a self-improvement loop with in-loop verification.","Use Mako: A Self-Evolving Agentic Operating System for Autonomous Web Exploitation to understand the evidence, vocabulary, and lineage behind recurring agent systems.",Research source arXiv:2607.11288; inspect its method and evaluation before treating results as production evidence.,medium,README.md,734,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L734,2026-07-15,Learn,learn,Understand the field and its boundaries.,verification,researcher;evaluator,cross-layer,enabling,research-preprint,A,ok,https://arxiv.org/abs/2607.11288,[2607.11288] Mako: A Self-Evolving Agentic Operating System (SE-AOS) for Autonomous Web Exploitation,"We introduce the Self-Evolving Agentic Operating System (SE-AOS): a new class of AI agent that treats exploit capability as a mutable, versioned kernel it extends at runtime, observing its own failures, synthesising new capabilities, proving them against a live target, and hot-loading them back into itself. Mako is the first SE-AOS instance for security research and the autonomous web exploitation engine developed within LaunchSafe. LaunchSafe builds autonomous security agents for continuous offensive testing and agent-driven security research; Mako is the core engine behind that platform. On the public XBOW validation-benchmarks, 104 containerised, CTF-style web applications spanning 26 vulnerability classes across three difficulty tiers, Mako achieves full-suite coverage: it drives every one of the 104 targets to emit a cryptographically fresh, per-build flag, under a verification regime that makes fabricated or memorised results impossible. Our central result is a law of autonomous exploitation: once a capability exists and is discoverable, difficulty collapses; capability, not reasoning, is what is scarce, together with an architecture and formalism that turn that law into a self-improving system. Mako further runs a gated self-evolution loop that proposes, sandboxes, and commits improvements to its own agents and rules when fitness does not regress. We deliberately withhold the operational results, payloads, exploit chains, and tool source, because a system that reduces full-spectrum web exploitation to a repeatable, machine-speed pipeline is dual-use research of concern. We publish the science; we withhold the weapon.",Praneeth Narisetty; Shiva Nagendra Babu Kore,2026-07-13,2026,arXiv,arXiv,,"13 pages, 10 figures, 8 tables",cs.CR,arxiv-api,,,,,,,2607.11288,2026-08-01T20:38:23+00:00
ale-0159,Research Foundations,research-foundations,Paper,📄,How Do Practitioners Build SE Agents? Insights from a Mixed-Methods Study,https://arxiv.org/abs/2607.10856,external,arxiv.org,"Mixed-methods study of how practitioners actually design software-engineering agents, surfacing the recurring loop, harness, and verification decisions teams make and where their mental models diverge from benchmark assumptions.","Mixed-methods study of how practitioners actually design software-engineering agents, surfacing the recurring loop, harness, and verification decisions teams make and where their mental models diverge from benchmark assumptions.","Mixed-methods study of how practitioners actually design software-engineering agents, surfacing the recurring loop, harness, and verification decisions teams make and where their mental models diverge from benchmark assumptions.","Verification is promoted from a final check to a loop-control signal. Mixed-methods study of how practitioners actually design software-engineering agents, surfacing the recurring loop, harness, and verification decisions teams make and where their mental models diverge from benchmark assumptions.","Use How Do Practitioners Build SE Agents? Insights from a Mixed-Methods Study to understand the evidence, vocabulary, and lineage behind recurring agent systems.",Research source arXiv:2607.10856; inspect its method and evaluation before treating results as production evidence.,medium,README.md,735,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L735,2026-07-15,Learn,learn,Understand the field and its boundaries.,verification,researcher;evaluator,cross-layer,enabling,research-preprint,A,ok,https://arxiv.org/abs/2607.10856,[2607.10856] How Do Practitioners Build SE Agents? Insights from a Mixed-Methods Study,"The rise of Software Engineering (SE) agents, i.e., LLM-based agents that can understand large codebases and carry out engineering tasks with limited human intervention, has been marked by rapid advances and adoption, but little is known about how developers build these systems in practice: existing studies mine repositories or examine deployment, but few investigate how SE agents are constructed. Through semi-structured interviews with 20 practitioners from 12 organizations and an online survey of 80 practitioners, this paper is the first to study how SE processes are changing in the development of SE agents and what challenges developers face. We find that as implementation becomes cheaper, bottlenecks shift rather than disappear: long-standing work in requirements, coordination, and deployment becomes more visible, while reviewing generated code and evaluating agent behavior become new and increasingly central forms of work. We characterize a seven-stage workflow and five process shifts, including a move toward evaluation-driven development, in which evaluation is increasingly defined early and steers iteration, and the emergence of specifications as first-class artifacts that teams test and version alongside code. We further identify six challenges that teams face, together with 12 corresponding practices they use or propose to address them, including unreliable evaluation signals, comprehension debt as code outpaces understanding, and behavioral changes introduced by provider-side model updates.",Yunbo Lyu; David Williams; Jieke Shi; Zhensu Sun; Chao Peng; Zhou Yang; Federica Sarro; David Lo,2026-07-12,2026,arXiv,arXiv,,,cs.SE,arxiv-api,,,,,,,2607.10856,2026-08-01T20:38:23+00:00
ale-0160,Research Foundations,research-foundations,Paper,📄,Dynamic Agent Skills: A Lifecycle Survey and Taxonomy of Evolving Skill Libraries,https://arxiv.org/abs/2607.10113,external,arxiv.org,"Survey and taxonomy of how agent skill libraries are created, evaluated, retired, and reused over time, organizing the fast-growing self-evolving-skills literature into a lifecycle framework.","Survey and taxonomy of how agent skill libraries are created, evaluated, retired, and reused over time, organizing the fast-growing self-evolving-skills literature into a lifecycle framework.","Survey and taxonomy of how agent skill libraries are created, evaluated, retired, and reused over time, organizing the fast-growing self-evolving-skills literature into a lifecycle framework.","Connects Loop Engineering to prior agent-loop and feedback-loop research. Survey and taxonomy of how agent skill libraries are created, evaluated, retired, and reused over time, organizing the fast-growing self-evolving-skills literature into a lifecycle framework.","Use Dynamic Agent Skills: A Lifecycle Survey and Taxonomy of Evolving Skill Libraries to understand the evidence, vocabulary, and lineage behind recurring agent systems.",Research source arXiv:2607.10113; inspect its method and evaluation before treating results as production evidence.,medium,README.md,736,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L736,2026-07-15,Learn,learn,Understand the field and its boundaries.,whole-loop,researcher;evaluator,cross-layer,enabling,research-paper,A,ok,https://openreview.net/forum?id=cjU3YbcRr8,[2607.10113] Dynamic Agent Skills: A Lifecycle Survey and Taxonomy of Evolving Skill Libraries,"Large language model agents increasingly store reusable procedures outside the model. These reusable procedures are often called \emph{skills}: they may be code functions, natural-language instructions, SKILL.md packages, workflow graphs, or learned adapters that a future agent can retrieve and invoke. This taxonomy-driven survey asks how such skill libraries change over time. Across a $124$-paper $2023$--$2026$ audit set, we synthesize dynamic skill systems as \emph{lifecycle-managed, verified, evolving artifact stores}: agents collect evidence from interaction, propose skill updates, verify and admit candidates, organize them for retrieval and composition, repair or prune stale entries, and govern sharing through provenance and rollback. We organize the literature around three survey tools. First, a $\text{six}$-sense taxonomy distinguishes the structurally different artifacts called ``skills'' in current papers. Second, an $\text{eight}$-stage lifecycle architecture identifies the recurring design decisions behind evidence acquisition, proposal, verification/admission, storage, retrieval/composition, maintenance, distillation/portability, and governance. Third, a lightweight skill-record schema and $\text{ten}$-operator vocabulary provide common terms for comparing library updates without elevating them into a separate method contribution. Using this structure, we synthesize evidence-graded patterns with explicit caveats: admission and repair are repeatedly important, verifier quality materially affects skill-aware RL, flat retrieval can degrade as libraries grow, and current benchmarks still under-report library trajectories, usage--utility gaps, and safety surfaces. We close with concrete reporting standards and open problems for evaluating dynamic skills as changing libraries rather than static prompt or tool collections.",Yubo Li,2026,2026,Transactions on Machine Learning Research (TMLR),OpenReview,,Accepted at Transactions on Machine Learning Research (TMLR); the linked arXiv record is the available paper version.,cs.AI,Current arXiv acceptance note and OpenReview record,,,,,,,2607.10113,2026-08-01T20:38:23+00:00
ale-0161,Research Foundations,research-foundations,Paper,📄,SIA: Self Improving AI with Harness & Weight Updates,https://arxiv.org/abs/2605.27276,external,arxiv.org,"Co-evolves a task agent's harness and model weights through a meta-agent, target agent, and feedback agent that evaluate outcomes and carry improvements across generations.","Co-evolves a task agent's harness and model weights through a meta-agent, target agent, and feedback agent that evaluate outcomes and carry improvements across generations.","Co-evolves a task agent's harness and model weights through a meta-agent, target agent, and feedback agent that evaluate outcomes and carry improvements across generations.","Connects Loop Engineering to prior agent-loop and feedback-loop research. Co-evolves a task agent's harness and model weights through a meta-agent, target agent, and feedback agent that evaluate outcomes and carry improvements across generations.","Use SIA: Self Improving AI with Harness & Weight Updates to understand the evidence, vocabulary, and lineage behind recurring agent systems.",Research source arXiv:2605.27276; inspect its method and evaluation before treating results as production evidence.,medium,README.md,740,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L740,2026-07-18,Learn,learn,Understand the field and its boundaries.,whole-loop,researcher;evaluator,cross-layer,enabling,research-preprint,A,ok,https://arxiv.org/abs/2605.27276,[2605.27276] SIA: Self Improving AI with Harness & Weight Updates,"Humans are the bottleneck in building and improving AI. Both the models and the agents that wrap them are written, tuned, and corrected by people. The long-horizon goal of an AI that can figure out how to improve itself remains open. Two largely disjoint research lines attack this bottleneck. The harness-update school has a meta-agent rewrite the scaffold of a task-specific agent (its tools, prompts, retry logic, and search procedure) while the model weights are held fixed. The test-time training school uses hand-written RL pipelines to update the model's own weights on task feedback while the harness is held fixed. These two silos operate in isolation. We propose SIA, a self-improving loop in which a language-model agent (the Feedback-Agent) updates both the harness and the weights of a task-specific agent. We evaluate across three contrasting domains: Chinese legal charge classification, low-level GPU kernel optimisation, and single-cell RNA denoising. Combining both levers outperforms scaffold iteration alone on all three benchmarks. SIA-W+H achieves 25.1% over prior SOTA on LawBench, 12.4% faster GPU kernels than prior SOTA (1,017 vs 1,161 {\mu}s), and 20.4% over prior SOTA on denoising. Harness updates make the model agentic, shaping how it searches and acts, while weight updates build the domain intuition that no prompt or scaffold can instil.",Prannay Hebbar; Yogendra Manawat; Samuel Verboomen; Alesia Ivanova; Selvam Palanimalai; Kunal Bhatia; Vignesh Baskaran,2026-05-26,2026,arXiv,arXiv,,,cs.AI,arxiv-api,,,,,,,2605.27276,2026-08-01T20:38:23+00:00
